CpuName,Price
Intel Core i7-920,15.0
Intel Core i5-4690,94.0
Intel Core i5-4570,29.0
Intel Core i5-6600,69.0
Intel Core i5-4590,151.0
Intel Core i5-2400,113.0
Intel Core i5-4440,152.0
Intel Core i5-3470,34.0
Intel Core i5-8600K,287.0
Intel Core i5-8400,168.0
Intel Core i5-2500K,140.0
Intel Core i5-7500,129.0
Intel Core i5-4670K,158.0
Intel Core i5-7600K,176.0
Intel Core i5-3570K,8.0
Intel Core i5-6500,34.0
Intel Core i5-7400,163.0
Intel Core i5-6400,41.0
Intel Core i5-4690K,51.0
Intel Core i5-6600K,80.0
Intel Core i7-9700K,354.0
Intel Core i7-8750H,230.0
Intel Core i7-8700,165.0
Intel Core i7-2600K,59.0
Intel Core i7-3770K,137.0
Intel Core i7-4770,149.0
Intel Core i7-2600,59.0
Intel Core i7-7700,205.0
Intel Core i7-4770K,26.0
Intel Core i7-6700,151.0
Intel Core i7-3770,125.0
Intel Core i7-8700K,267.0
Intel Core i7-4790,117.0
Intel Core i7-6700K,114.0
Intel Core i7-4790K,107.0
Intel Core i7-7700K,239.0
AMD Ryzen 5 3400G,196.0
AMD FX-9370,59.0
AMD FX-6200,59.0
AMD FX-8370E,399.0
AMD FX-9590,39.0
AMD FX-4350,6.0
AMD FX-8150,49.0
AMD FX-8370,39.0
AMD FX-8120,39.0
AMD FX-8320E,4.0
AMD FX-4100,14.0
AMD FX-6100,10.0
AMD FX-8300,39.0
AMD FX-4300,29.0
AMD FX-8320,44.0
AMD FX-8350,399.0
AMD FX-6300,23.0
AMD Ryzen 5 3600X,99.0
AMD Ryzen 7 3700X,209.0
AMD Ryzen 7 1800X,949.0
AMD Ryzen 7 2700,89.0
AMD Ryzen 5 3600,88.0
AMD Ryzen 3 1300X,49.0
AMD Ryzen 5 2400G,199.0
AMD Ryzen 7 1700X,89.0
AMD Ryzen 5 1500X,49.0
AMD Ryzen 3 1200,1600.0
AMD Ryzen 5 2600X,76.0
AMD Ryzen 5 1400,196.0
AMD Ryzen 5 1600X,149.0
AMD Ryzen 7 2700X,299.0
AMD Ryzen 7 1700,69.0
AMD Ryzen 3 2200G,66.0
AMD Ryzen 5 2600,139.0
AMD Ryzen 5 1600,59.0
Intel Core i3-4330,43.0
Intel Core i9-7980XE,331.0
Intel Core i9-7940X,628.0
Intel Core i9-7900X,699.0
