GpuName,Price
AMD Radeon RX 480,99.0
NVIDIA GeForce GTX 1080 11Gbps,399.0
AMD Radeon R7 260X,29.0
AMD Radeon R9 280X,39.0
NVIDIA GeForce GTX 950,119.0
NVIDIA GeForce GTX 980,385.0
NVIDIA GeForce GTX 1070 Ti,655.0
NVIDIA GeForce GTX 1050 3 GB,31.0
AMD Radeon R9 380,330.0
NVIDIA GeForce GTX 770,149.0
NVIDIA GeForce GTX 660 Rev. 2,149.0
AMD Radeon R9 290,235.0
NVIDIA GeForce GTX 1050 Ti,239.0
NVIDIA GeForce GTX 1070 GDDR5X,655.0
NVIDIA GeForce GTX 760,219.0
NVIDIA GeForce GTX 1060 6 GB 9Gbps,269.0
NVIDIA GeForce GTX 750 Ti OEM,119.0
NVIDIA GeForce GTX 970,199.0
AMD Radeon R9 380X,159.0
ATI Radeon HD 5770,6.0
NVIDIA GeForce GTX 680 Mac Edition,99.0
NVIDIA GeForce GTX 580,129.0
AMD Radeon R9 270X,33.0
AMD Radeon HD 7950,270.0
ATI Radeon HD 4870,6.0
ATI Radeon HD 5850,215.0
NVIDIA GeForce GTX 260 OEM,1899.0
NVIDIA GeForce GTX 780,169.0
NVIDIA GeForce GTX 1660 Ti,275.0
AMD Radeon R9 FURY,389.0
AMD Radeon R9 285,59.0
NVIDIA GeForce GTX 650,145.0
AMD Radeon RX 470,919.0
AMD Radeon RX 580 OEM,119.0
NVIDIA GeForce GTX 650 Ti OEM,469.0
NVIDIA GeForce GTX 760 OEM,22.0
NVIDIA GeForce GT 630 Rev. 2 PCIe x8,1079.0
AMD Radeon R9 270,215.0
AMD Radeon R9 280,199.0
NVIDIA GeForce GTX 750,199.0
NVIDIA GeForce GTX 550 Ti,109.0
AMD Radeon R7 370,24.0
AMD Radeon HD 6770,193.0
NVIDIA GeForce GT 710 OEM,424.0
NVIDIA GeForce GT 1030,50.0
NVIDIA GeForce GTX 645 OEM,149.0
NVIDIA GeForce GT 640 Rev. 2,424.0
AMD Radeon HD 7850,13.0
Intel HD Graphics 2500,100.0
AMD Radeon HD 7790,39.0
NVIDIA GeForce RTX 2070,279.0
NVIDIA GeForce RTX 2080,699.0
AMD Radeon HD 7770M,74.0
AMD Radeon RX 570,149.0
NVIDIA GeForce GTX 980 Ti,385.0
NVIDIA GeForce RTX 2060,239.0
NVIDIA GeForce GTX 1080 Ti,570.0
AMD Radeon HD 7870M,74.0
AMD Radeon RX 560,99.0
AMD Radeon HD 6950,89.0
AMD Radeon R9 290X,99.0
AMD Radeon RX 460,1156.0
AMD Radeon R7 360,24.0
NVIDIA GeForce GTX 745 OEM,149.0
AMD Radeon R9 390X,11.0
AMD Radeon R9 390,199.0
NVIDIA GeForce RTX 2070 SUPER,510.0
NVIDIA GeForce RTX 2080 Ti,769.0
NVIDIA GeForce RTX 2080 SUPER,849.0
NVIDIA GeForce RTX 2060 SUPER,355.0
AMD Radeon Pro 555X,650.0
AMD Radeon HD 6970,59.0
NVIDIA GeForce GTX 570,199.0
NVIDIA GeForce GTX 1660,164.0
AMD Radeon HD 7570 OEM,74.0
AMD Radeon HD 6670,14.0
NVIDIA GeForce GT 530 OEM,1397.0
NVIDIA GeForce GTX 780 Ti,169.0
NVIDIA GeForce GT 705 OEM,424.0
AMD Radeon RX Vega 11,149.0
NVIDIA GeForce GT 430,49.0
NVIDIA GeForce GTX 650 Ti Boost,325.0
